alcaldia,colonia,superficie_km2_calculada,vocacion_principal,uso_suelo_num,consumo_total,consumo_total_dom,consumo_total_no_dom,bimestres_cubiertos,consumo_anualizado,pob,consumo_per_capita,consumo_per_capita_anualizado,densidad_poblacional,total_reportes,reportes_fuga,reportes_falta_agua,tiene_reportes_2019,idsm,e_idsm,latitud,longitud
CUAUHTEMOC,JUAREZ,1.4823661240472443,Comercial/Servicios,1,1046448.3,276014.12,667282.31,3.0,2092896.6,7860.0,133.13591603053436,266.2718,5302.333797631694,388.0,0.0,388.0,True,0.9161628484726,Alto,19.431001501,-99.1538469678
CUAUHTEMOC,CENTRO IV,1.2587934045539304,Comercial/Servicios,1,855370.09,110727.44,604580.05,3.0,1710740.18,6648.0,128.66577767749698,257.3316,5281.247880668555,44.0,0.0,44.0,True,0.75175565481186,Bajo,19.432541489,-99.1310777594
MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC,3.1103772748247343,Habitacional/Comercial,1,838645.61,425581.32,394763.06,3.0,1677291.22,3385.5,247.71691330674938,495.4338,1088.4531684956992,609.0,0.0,609.0,True,0.0,Sin dato,19.4174384006,-99.2177935523
CUAUHTEMOC,DOCTORES IV,0.693519047377668,Comercial/Servicios,1,761460.58,172953.26,549868.32,3.0,1522921.16,8224.0,92.59005107003891,185.1801,11858.362118670802,247.0,0.0,247.0,True,0.83932733535767,Medio,19.4154265967,-99.1505590778
CUAUHTEMOC,CUAUHTEMOC,1.2356000008321137,Comercial/Servicios,1,750166.45,324022.41,361931.99,3.0,1500332.9,10591.0,70.8305589651591,141.6611,8571.544183285449,509.0,0.0,509.0,True,0.95580095052719,Muy alto,19.4256455656,-99.1758124073
MAGDALENA CONTRERAS,SAN JERONIMO ACULCO - LIDICE (PBLO),3.7071384244579733,Habitacional/Reserva,0,715020.88,519966.83,174013.75,3.0,1430041.76,21559.0,33.16577206735006,66.3315,5815.536818847593,196.0,0.0,196.0,True,0.91503071784973,Alto,19.3208607085,-99.2375996183
BENITO JUAREZ,NAPOLES,0.9047545364166124,Habitacional/Comercial,1,710590.24,441300.44,234159.7,3.0,1421180.48,15648.0,45.41093047034765,90.8219,17295.298746968165,316.0,0.0,316.0,True,0.96561563014984,Muy alto,19.3891188034,-99.179234009
CUAUHTEMOC,CENTRO VIII,1.1446375371262654,Comercial/Servicios,1,699272.53,220500.15,382838.12,3.0,1398545.06,9318.0,75.0453455677184,150.0907,8140.568256562538,76.0,0.0,76.0,True,0.84578329324722,Medio,19.4269282643,-99.15192679
MIGUEL HIDALGO,GRANADA,0.9775728099318132,Habitacional/Comercial,1,687067.58,261379.47,417265.56,3.0,1374135.16,7924.0,86.70716557294296,173.4143,8105.790095115993,17.0,0.0,17.0,True,0.9335013628006,Alto,19.4400484095,-99.190859047
ALVARO OBREGON,JARDINES DEL PEDREGAL,5.859860491367216,Habitacional/Comercial,1,652454.59,541750.2,107271.9,3.0,1304909.18,12403.0,52.604578730952184,105.2092,2116.6032908585757,1052.0,0.0,1052.0,True,0.9699849486351,Muy alto,19.3083590438,-99.2128149069
MIGUEL HIDALGO,CHAPULTEPEC POLANCO (POLANCO),0.6412565178534415,Habitacional/Comercial,1,627269.61,186787.39,393155.88,3.0,1254539.22,3039.0,206.40658440276405,412.8132,4739.133116608041,18.0,0.0,18.0,True,0.96545135974884,Muy alto,19.4298838999,-99.1925803553
MIGUEL HIDALGO,CHAPULTEPEC MORALES (POLANCO),0.589993281730828,Habitacional/Comercial,1,579934.47,310196.69,199587.25,3.0,1159868.94,6682.0,86.7905522298713,173.5811,11325.552691714414,35.0,0.0,35.0,True,0.97163277864456,Muy alto,19.4327036374,-99.1906881553
AZCAPOTZALCO,EL ROSARIO B (U HAB),0.36005822206340593,Industrial/Comercial,2,554755.23,457672.0,97083.28,3.0,1109510.46,10036.0,55.27652750099641,110.5531,27873.269890869677,16.0,0.0,16.0,True,0.84384691715241,Medio,19.5112673568,-99.2012849179
CUAJIMALPA,CORREDOR SANTA FE,1.753454206636622,Habitacional/Corporativo,1,544084.4,306853.67,216263.41999999998,3.0,1088168.8,10432.0,52.155329754601226,104.3107,5949.399739392156,45.0,0.0,45.0,True,0.97742861509323,Muy alto,19.3562703893,-99.2746966451
CUAUHTEMOC,ROMA NORTE III,0.8616351011266065,Comercial/Servicios,1,529300.87,275627.24,161783.59,3.0,1058601.74,11206.0,47.23370248081385,94.4674,13005.505445806368,75.0,0.0,75.0,True,0.91261440515518,Alto,19.4118086649,-99.166413326
GUSTAVO A. MADERO,LINDAVISTA II,3.255606305730928,Habitacional/Industrial,1,523630.27,245368.85,249061.83000000002,3.0,1047260.54,8598.0,60.90140381484066,121.8028,2640.9827210571248,37.0,0.0,37.0,True,0.93416965007782,Alto,19.4986078485,-99.1274474413
